	r_spotId	관광지명	area_code	Unnamed: 0	date	avgTemp	highTemp	lowTemp	rainProb	weather	datetime	month	weekday	season
0	1	1100고지 코스	5	55	2022-09-07	25.0	26	24	0	4	2022-09-07	September	2	fall
1	1	1100고지 코스	5	56	2022-09-08	25.541666666666668	29	22	20	4	2022-09-08	September	3	fall
2	1	1100고지 코스	5	57	2022-09-09	25.041666666666668	28	23	20	4	2022-09-09	September	4	fall
3	1	1100고지 코스	5	58	2022-09-10	25.416666666666668	27	24	30	4	2022-09-10	September	5	fall
4	1	1100고지 코스	5	59	2022-09-11	25.0	27	23	40	4	2022-09-11	September	6	fall
5	1	1100고지 코스	5	60	2022-09-12	25.5	27	24	40	4	2022-09-12	September	0	fall
6	1	1100고지 코스	5	61	2022-09-13	25.5	27	24	80	4	2022-09-13	September	1	fall
7	1	1100고지 코스	5	62	2022-09-14	26.0	28	24	40	4	2022-09-14	September	2	fall
8	1	1100고지 코스	5	63	2022-09-15	26.0	28	24	40	4	2022-09-15	September	3	fall
9	1	1100고지 코스	5	64	2022-09-16	26.0	28	24	40	4	2022-09-16	September	4	fall
10	1	1100고지 코스	5	65	2022-09-17	26.0	29	23	40	4	2022-09-17	September	5	fall
11	2	1100고지습지	5	55	2022-09-07	25.0	26	24	0	4	2022-09-07	September	2	fall
12	2	1100고지습지	5	56	2022-09-08	25.541666666666668	29	22	20	4	2022-09-08	September	3	fall
13	2	1100고지습지	5	57	2022-09-09	25.041666666666668	28	23	20	4	2022-09-09	September	4	fall
14	2	1100고지습지	5	58	2022-09-10	25.416666666666668	27	24	30	4	2022-09-10	September	5	fall
15	2	1100고지습지	5	59	2022-09-11	25.0	27	23	40	4	2022-09-11	September	6	fall
16	2	1100고지습지	5	60	2022-09-12	25.5	27	24	40	4	2022-09-12	September	0	fall
17	2	1100고지습지	5	61	2022-09-13	25.5	27	24	80	4	2022-09-13	September	1	fall
18	2	1100고지습지	5	62	2022-09-14	26.0	28	24	40	4	2022-09-14	September	2	fall
19	2	1100고지습지	5	63	2022-09-15	26.0	28	24	40	4	2022-09-15	September	3	fall
20	2	1100고지습지	5	64	2022-09-16	26.0	28	24	40	4	2022-09-16	September	4	fall
21	2	1100고지습지	5	65	2022-09-17	26.0	29	23	40	4	2022-09-17	September	5	fall
22	3	5.16도로숲터널	0	0	2022-09-07	22.8	24	22	0	4	2022-09-07	September	2	fall
23	3	5.16도로숲터널	0	1	2022-09-08	23.95833333333333	28	21	20	4	2022-09-08	September	3	fall
24	3	5.16도로숲터널	0	2	2022-09-09	23.75	27	21	20	4	2022-09-09	September	4	fall
25	3	5.16도로숲터널	0	3	2022-09-10	24.375	26	23	30	4	2022-09-10	September	5	fall
26	3	5.16도로숲터널	0	4	2022-09-11	25.0	27	23	40	4	2022-09-11	September	6	fall
27	3	5.16도로숲터널	0	5	2022-09-12	25.5	27	24	40	4	2022-09-12	September	0	fall
28	3	5.16도로숲터널	0	6	2022-09-13	25.5	27	24	80	4	2022-09-13	September	1	fall
29	3	5.16도로숲터널	0	7	2022-09-14	26.0	28	24	40	4	2022-09-14	September	2	fall
30	3	5.16도로숲터널	0	8	2022-09-15	26.0	28	24	40	4	2022-09-15	September	3	fall
