title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
동문재래시장,11,83.0,2022-09-10,24.08333333333333,26,23,30,4,923.9407
동문재래시장,11,83.0,2022-09-17,26.0,29,23,40,4,901.9237
동문재래시장,11,83.0,2022-09-11,25.0,27,23,40,4,886.60223
동문재래시장,11,83.0,2022-09-12,25.5,27,24,40,4,805.319
동문재래시장,11,83.0,2022-09-16,26.0,28,24,40,4,805.2406
동문재래시장,11,83.0,2022-09-09,24.25,26,22,20,4,800.75867
동문재래시장,11,83.0,2022-09-14,26.0,28,24,40,4,790.23816
동문재래시장,11,83.0,2022-09-07,23.4,24,23,0,4,752.35944
동문재래시장,11,83.0,2022-09-15,26.0,28,24,40,4,741.6463
동문재래시장,11,83.0,2022-09-08,24.5,27,22,20,4,738.4753
서귀포매일올레시장,5,156.0,2022-09-17,26.0,29,23,40,4,694.2298
서귀포매일올레시장,5,156.0,2022-09-10,25.416666666666668,27,24,30,4,686.651
서귀포매일올레시장,5,156.0,2022-09-09,25.041666666666668,28,23,20,4,676.67004
서귀포매일올레시장,5,156.0,2022-09-07,25.0,26,24,0,4,675.97504
협재해수욕장,10,464.0,2022-09-08,23.541666666666668,27,20,20,4,674.54193
함덕해수욕장,8,458.0,2022-09-11,25.0,27,23,40,4,669.2052
서귀포매일올레시장,5,156.0,2022-09-08,25.541666666666668,29,22,20,4,667.8154
서귀포매일올레시장,5,156.0,2022-09-11,25.0,27,23,40,4,667.067
서귀포매일올레시장,5,156.0,2022-09-16,26.0,28,24,40,4,663.5469
서귀포매일올레시장,5,156.0,2022-09-14,26.0,28,24,40,4,663.327
서귀포매일올레시장,5,156.0,2022-09-12,25.5,27,24,40,4,660.91864
서귀포매일올레시장,5,156.0,2022-09-15,26.0,28,24,40,4,654.4649
동문재래시장,11,83.0,2022-09-13,25.5,27,24,80,4,654.4072
서귀포매일올레시장,5,156.0,2022-09-13,25.5,27,24,80,4,637.22095
함덕해수욕장,8,458.0,2022-09-17,26.0,29,23,40,4,628.88385
협재해수욕장,10,464.0,2022-09-11,25.5,28,23,40,4,616.5867
협재해수욕장,10,464.0,2022-09-09,23.166666666666668,26,20,20,4,594.814
함덕해수욕장,8,458.0,2022-09-08,23.125,25,21,20,4,588.9114
함덕해수욕장,8,458.0,2022-09-16,26.0,28,24,40,4,587.26294
함덕해수욕장,8,458.0,2022-09-12,25.5,27,24,40,4,584.6163
함덕해수욕장,8,458.0,2022-09-14,26.0,28,24,40,4,578.4862
함덕해수욕장,8,458.0,2022-09-15,26.0,28,24,40,4,572.36237
함덕해수욕장,8,458.0,2022-09-13,25.5,27,24,80,4,566.6511
협재해수욕장,10,464.0,2022-09-17,25.5,28,23,40,4,559.0621
협재해수욕장,10,464.0,2022-09-12,25.5,28,23,40,4,552.514
함덕해수욕장,8,458.0,2022-09-09,22.875,25,21,30,4,542.6174
협재해수욕장,10,464.0,2022-09-10,23.875,26,21,30,4,541.81555
함덕해수욕장,8,458.0,2022-09-10,23.25,24,22,30,4,540.20337
협재해수욕장,10,464.0,2022-09-14,26.5,29,24,40,4,517.8456
협재해수욕장,10,464.0,2022-09-16,25.0,27,23,40,4,508.63892
성산일출봉,2,177.0,2022-09-11,25.0,27,23,40,4,503.60114
곽지해수욕장,7,27.0,2022-09-17,26.0,29,23,40,4,498.14377
협재해수욕장,10,464.0,2022-09-15,26.0,28,24,40,4,494.0603
협재해수욕장,10,464.0,2022-09-07,22.0,22,22,0,4,481.69397
협재해수욕장,10,464.0,2022-09-13,25.5,28,23,80,4,480.2931
함덕해수욕장,8,458.0,2022-09-07,22.2,23,22,0,4,471.25244
성산일출봉,2,177.0,2022-09-08,24.33333333333333,26,23,20,4,462.1126
이호테우해변,11,298.0,2022-09-11,25.0,27,23,40,4,438.55795
이호테우해변,11,298.0,2022-09-17,26.0,29,23,40,4,434.0695
이호테우해변,11,298.0,2022-09-10,24.08333333333333,26,23,30,4,426.65762
성산일출봉,2,177.0,2022-09-17,25.5,28,23,40,4,423.1794
성산일출봉,2,177.0,2022-09-16,25.0,27,23,40,4,422.43076
성산일출봉,2,177.0,2022-09-10,25.0,26,24,30,4,421.62653
곽지해수욕장,7,27.0,2022-09-12,25.5,27,24,40,4,420.5989
곽지해수욕장,7,27.0,2022-09-16,26.0,28,24,40,4,420.52048
곽지해수욕장,7,27.0,2022-09-15,26.0,28,24,40,4,419.16315
성산일출봉,2,177.0,2022-09-12,25.0,27,23,40,4,417.76556
성산일출봉,2,177.0,2022-09-14,26.0,28,24,40,4,417.46735
성산일출봉,2,177.0,2022-09-15,26.0,28,24,40,4,416.3298
곽지해수욕장,7,27.0,2022-09-11,25.0,27,23,40,4,415.9557
이호테우해변,11,298.0,2022-09-16,26.0,28,24,40,4,414.6305
이호테우해변,11,298.0,2022-09-12,25.5,27,24,40,4,411.7788
곽지해수욕장,7,27.0,2022-09-13,25.5,27,24,80,4,410.3055
이호테우해변,11,298.0,2022-09-15,26.0,28,24,40,4,407.36813
곽지해수욕장,7,27.0,2022-09-14,26.0,28,24,40,4,405.25186
성산일출봉,2,177.0,2022-09-07,23.4,24,23,0,4,405.06024
아르떼뮤지엄제주,7,228.0,2022-09-10,24.0,26,22,30,4,398.68423
