,r_spotId,title,area_code,Unnamed: 0,date,avgTemp,highTemp,lowTemp,rainProb,weather,datetime,month,weekday,season,Unnamed: 0.1,contentsid,predict
905,83.0,동문재래시장,11,124,2022-09-10,24.08333333333333,26,23,30,4,2022-09-10 00:00:00,September,5,fall,,,923.9407
912,83.0,동문재래시장,11,131,2022-09-17,26.0,29,23,40,4,2022-09-17 00:00:00,September,5,fall,,,901.9237
906,83.0,동문재래시장,11,125,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,886.60223
907,83.0,동문재래시장,11,126,2022-09-12,25.5,27,24,40,4,2022-09-12 00:00:00,September,0,fall,,,805.319
911,83.0,동문재래시장,11,130,2022-09-16,26.0,28,24,40,4,2022-09-16 00:00:00,September,4,fall,,,805.2406
904,83.0,동문재래시장,11,123,2022-09-09,24.25,26,22,20,4,2022-09-09 00:00:00,September,4,fall,,,800.75867
909,83.0,동문재래시장,11,128,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,790.23816
902,83.0,동문재래시장,11,121,2022-09-07,23.4,24,23,0,4,2022-09-07 00:00:00,September,2,fall,,,752.35944
910,83.0,동문재래시장,11,129,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,741.6463
903,83.0,동문재래시장,11,122,2022-09-08,24.5,27,22,20,4,2022-09-08 00:00:00,September,3,fall,,,738.4753
1715,156.0,서귀포매일올레시장,5,65,2022-09-17,26.0,29,23,40,4,2022-09-17 00:00:00,September,5,fall,,,694.2298
1708,156.0,서귀포매일올레시장,5,58,2022-09-10,25.416666666666668,27,24,30,4,2022-09-10 00:00:00,September,5,fall,,,686.651
1707,156.0,서귀포매일올레시장,5,57,2022-09-09,25.041666666666668,28,23,20,4,2022-09-09 00:00:00,September,4,fall,,,676.67004
1705,156.0,서귀포매일올레시장,5,55,2022-09-07,25.0,26,24,0,4,2022-09-07 00:00:00,September,2,fall,,,675.97504
5094,464.0,협재해수욕장,10,111,2022-09-08,23.541666666666668,27,20,20,4,2022-09-08 00:00:00,September,3,fall,,,674.54193
5031,458.0,함덕해수욕장,8,92,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,669.2052
1706,156.0,서귀포매일올레시장,5,56,2022-09-08,25.541666666666668,29,22,20,4,2022-09-08 00:00:00,September,3,fall,,,667.8154
1709,156.0,서귀포매일올레시장,5,59,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,667.067
1714,156.0,서귀포매일올레시장,5,64,2022-09-16,26.0,28,24,40,4,2022-09-16 00:00:00,September,4,fall,,,663.5469
1712,156.0,서귀포매일올레시장,5,62,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,663.327
1710,156.0,서귀포매일올레시장,5,60,2022-09-12,25.5,27,24,40,4,2022-09-12 00:00:00,September,0,fall,,,660.91864
1713,156.0,서귀포매일올레시장,5,63,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,654.4649
908,83.0,동문재래시장,11,127,2022-09-13,25.5,27,24,80,4,2022-09-13 00:00:00,September,1,fall,,,654.4072
1711,156.0,서귀포매일올레시장,5,61,2022-09-13,25.5,27,24,80,4,2022-09-13 00:00:00,September,1,fall,,,637.22095
5037,458.0,함덕해수욕장,8,98,2022-09-17,26.0,29,23,40,4,2022-09-17 00:00:00,September,5,fall,,,628.88385
5097,464.0,협재해수욕장,10,114,2022-09-11,25.5,28,23,40,4,2022-09-11 00:00:00,September,6,fall,,,616.5867
5095,464.0,협재해수욕장,10,112,2022-09-09,23.166666666666668,26,20,20,4,2022-09-09 00:00:00,September,4,fall,,,594.814
5028,458.0,함덕해수욕장,8,89,2022-09-08,23.125,25,21,20,4,2022-09-08 00:00:00,September,3,fall,,,588.9114
5036,458.0,함덕해수욕장,8,97,2022-09-16,26.0,28,24,40,4,2022-09-16 00:00:00,September,4,fall,,,587.26294
5032,458.0,함덕해수욕장,8,93,2022-09-12,25.5,27,24,40,4,2022-09-12 00:00:00,September,0,fall,,,584.6163
5034,458.0,함덕해수욕장,8,95,2022-09-14,26.0,28,24,40,4,2022-09-14 00:00:00,September,2,fall,,,578.4862
5035,458.0,함덕해수욕장,8,96,2022-09-15,26.0,28,24,40,4,2022-09-15 00:00:00,September,3,fall,,,572.36237
5033,458.0,함덕해수욕장,8,94,2022-09-13,25.5,27,24,80,4,2022-09-13 00:00:00,September,1,fall,,,566.6511
5103,464.0,협재해수욕장,10,120,2022-09-17,25.5,28,23,40,4,2022-09-17 00:00:00,September,5,fall,,,559.0621
5098,464.0,협재해수욕장,10,115,2022-09-12,25.5,28,23,40,4,2022-09-12 00:00:00,September,0,fall,,,552.514
5029,458.0,함덕해수욕장,8,90,2022-09-09,22.875,25,21,30,4,2022-09-09 00:00:00,September,4,fall,,,542.6174
5096,464.0,협재해수욕장,10,113,2022-09-10,23.875,26,21,30,4,2022-09-10 00:00:00,September,5,fall,,,541.81555
5030,458.0,함덕해수욕장,8,91,2022-09-10,23.25,24,22,30,4,2022-09-10 00:00:00,September,5,fall,,,540.20337
5100,464.0,협재해수욕장,10,117,2022-09-14,26.5,29,24,40,4,2022-09-14 00:00:00,September,2,fall,,,517.8456
5102,464.0,협재해수욕장,10,119,2022-09-16,25.0,27,23,40,4,2022-09-16 00:00:00,September,4,fall,,,508.63892
1940,177.0,성산일출봉,2,26,2022-09-11,25.0,27,23,40,4,2022-09-11 00:00:00,September,6,fall,,,503.60114
296,27.0,곽지해수욕장,7,87,2022-09-17,26.0,29,23,40,4,2022-09-17 00:00:00,September,5,fall,,,498.14377
