	date	area_code	avgTemp	highTemp	lowTemp	rainProb	weather
0	2022-09-07	0	22.8	24	22	0	4
1	2022-09-08	0	23.958333333333332	28	21	20	4
2	2022-09-09	0	23.75	27	21	20	4
3	2022-09-10	0	24.375	26	23	30	4
4	2022-09-11	0	25.0	27	23	40	4
5	2022-09-12	0	25.5	27	24	40	4
6	2022-09-13	0	25.5	27	24	80	4
7	2022-09-14	0	26.0	28	24	40	4
8	2022-09-15	0	26.0	28	24	40	4
9	2022-09-16	0	26.0	28	24	40	4
10	2022-09-17	0	26.0	29	23	40	4
11	2022-09-07	1	22.6	24	22	0	4
12	2022-09-08	1	24.333333333333332	28	21	20	4
13	2022-09-09	1	24.041666666666668	28	21	20	4
14	2022-09-10	1	24.625	28	21	30	4
15	2022-09-11	1	25.0	27	23	40	4
16	2022-09-12	1	25.5	27	24	40	4
17	2022-09-13	1	25.5	27	24	80	4
18	2022-09-14	1	26.0	28	24	40	4
19	2022-09-15	1	26.0	28	24	40	4
20	2022-09-16	1	26.0	28	24	40	4
21	2022-09-17	1	26.0	29	23	40	4
22	2022-09-07	2	23.4	24	23	0	4
23	2022-09-08	2	24.333333333333332	26	23	20	4
24	2022-09-09	2	24.333333333333332	25	23	30	4
25	2022-09-10	2	25.0	26	24	30	4
26	2022-09-11	2	25.0	27	23	40	4
27	2022-09-12	2	25.0	27	23	40	4
28	2022-09-13	2	25.0	27	23	80	4
29	2022-09-14	2	26.0	28	24	40	4
30	2022-09-15	2	26.0	28	24	40	4
31	2022-09-16	2	25.0	27	23	40	4
32	2022-09-17	2	25.5	28	23	40	4
33	2022-09-07	3	22.8	23	22	0	4
34	2022-09-08	3	24.583333333333332	28	21	20	4
35	2022-09-09	3	24.291666666666668	28	21	20	4
36	2022-09-10	3	24.833333333333332	28	22	30	4
37	2022-09-11	3	25.0	27	23	40	4
38	2022-09-12	3	25.5	27	24	40	4
39	2022-09-13	3	25.5	27	24	80	4
40	2022-09-14	3	26.0	28	24	40	4
41	2022-09-15	3	26.0	28	24	40	4
42	2022-09-16	3	26.0	28	24	40	4
43	2022-09-17	3	26.0	29	23	40	4
44	2022-09-07	4	22.4	23	22	0	4
45	2022-09-08	4	23.958333333333332	27	22	20	4
46	2022-09-09	4	23.916666666666668	26	22	30	4
47	2022-09-10	4	24.666666666666668	26	24	30	4
48	2022-09-11	4	25.0	27	23	40	4
49	2022-09-12	4	25.0	27	23	40	4
50	2022-09-13	4	25.0	27	23	80	4
51	2022-09-14	4	26.0	28	24	40	4
52	2022-09-15	4	26.0	28	24	40	4
53	2022-09-16	4	25.0	27	23	40	4
54	2022-09-17	4	25.5	28	23	40	4
55	2022-09-07	5	25.0	26	24	0	4
56	2022-09-08	5	25.541666666666668	29	22	20	4
57	2022-09-09	5	25.041666666666668	28	23	20	4
58	2022-09-10	5	25.416666666666668	27	24	30	4
59	2022-09-11	5	25.0	27	23	40	4
60	2022-09-12	5	25.5	27	24	40	4
61	2022-09-13	5	25.5	27	24	80	4
62	2022-09-14	5	26.0	28	24	40	4
63	2022-09-15	5	26.0	28	24	40	4
64	2022-09-16	5	26.0	28	24	40	4
65	2022-09-17	5	26.0	29	23	40	4
66	2022-09-07	6	22.0	22	22	0	4
67	2022-09-08	6	23.5	26	21	20	4
68	2022-09-09	6	23.416666666666668	25	21	30	4
69	2022-09-10	6	24.125	25	23	30	4
70	2022-09-11	6	25.0	27	23	40	4
71	2022-09-12	6	25.0	27	23	40	4
72	2022-09-13	6	25.0	27	23	80	4
73	2022-09-14	6	26.0	28	24	40	4
74	2022-09-15	6	26.0	28	24	40	4
75	2022-09-16	6	25.0	27	23	40	4
76	2022-09-17	6	25.5	28	23	40	4
77	2022-09-07	7	22.4	23	22	0	4
78	2022-09-08	7	23.541666666666668	26	21	20	4
79	2022-09-09	7	23.5	26	21	20	4
80	2022-09-10	7	24.0	26	22	30	4
